station_id,code,name,city,state
454,SRPN,SRIPANI,,
7817,SSCR,"SONACHARA  S",,
3377,SSDT,"SHAMSHABAD T",,
3651,STBB,SATBERIAHALT,,
7975,STBD,"SULTANABAD H",,
3879,SUAL,saundal,,
7996,SUPP,SUPPALAPADU,,
448,SUZ,SUBANSIRI,,
446,SWJ,SIAJULI,,
6270,TASA,TIPPESANDRA,,
505,TBH,TATIBAHAR,,
7768,THMA,THAM,,
4329,TILA,TILA,,
3551,TKNR,THAKURNAGAR,,
3731,TKPH,"TAKIPUR HALT",,
7948,TLL,TALAP,,
3730,TLPH,TALPUR,,
5799,TMUR,"Tenua Dumari",,
7816,TOP,TAPASI,,
506,TPG,TIPLING,,
460,TQM,TELAM,,
7400,TRF,TAROPA,,
8097,TRP,TARAPUR,,
508,TUJ,TANIJAN,,
6568,TYT,TIRUNELVELI,,
7643,UDMR,"UDI MOR",,
504,UKE,UTTARKATHANI,,
7397,UML,UMALLA,,
4830,UWAN,URWAN,,
8144,VDLR,"MUMBAI VADAL",,
7986,VGH,"VELANGI HALT",,
7770,VGRA,VAGRA,,
7985,VH,"VAKADA HALT",,
8112,VJF,VIJAPUR,,
6209,VNGL,LADDIVADI,,
6011,VNGP,VANGAICHUNGP,,
3878,VRLI,veravali,,
8143,VSH,VASHI,,
6564,VVR,VIRAVANALLUR,,
8061,WRI,WARASEONI,,
6811,YADA,SATYAVALLI,,
584,YPRA,"YESVANTPUR B",,
8098,YVP,YAWARPURA,,
2980,YY,YEDIYYURU,,
